,Date,continuous
0,2018-08-01,0
1,2018-08-02,2758
2,2018-08-03,0
3,2018-08-04,1628
4,2018-08-05,3542
5,2018-08-06,9884
6,2018-08-07,7901
7,2018-08-08,2659
8,2018-08-09,3643
9,2018-08-10,3671
10,2018-08-11,3323
11,2018-08-12,1117
12,2018-08-13,3076
13,2018-08-14,1325
14,2018-08-15,401
15,2018-08-16,1812
16,2018-08-17,1352
17,2018-08-18,559
18,2018-08-19,220
19,2018-08-20,320
20,2018-08-21,4546
21,2018-08-22,2212
22,2018-08-23,2464
23,2018-08-24,5788
24,2018-08-25,6439
25,2018-08-26,3593
26,2018-08-27,2917
27,2018-08-28,3702
28,2018-08-29,5815
29,2018-08-30,8643
30,2018-08-31,7550
31,2018-09-01,0
0,2018-08-31,0
1,2018-09-01,4193
2,2018-09-02,1405
3,2018-09-03,3521
4,2018-09-04,2272
5,2018-09-05,2559
6,2018-09-06,1315
7,2018-09-07,886
8,2018-09-08,343
9,2018-09-09,23
10,2018-09-10,896
11,2018-09-11,3231
12,2018-09-12,3027
13,2018-09-13,278
14,2018-09-17,133
15,2018-09-18,128
16,2018-09-19,66
17,2018-09-20,2
18,2018-09-21,2409
19,2018-09-22,1192
20,2018-09-23,1975
21,2018-09-24,219
22,2018-09-25,1226
23,2018-09-26,1500
24,2018-09-27,71
25,2018-09-28,343
26,2018-09-29,7
27,2018-09-30,118
28,2018-10-01,0
0,2018-09-30,0
1,2018-10-01,58
2,2018-10-02,141
3,2018-10-03,582
4,2018-10-04,162
5,2018-10-05,406
6,2018-10-06,27
7,2018-10-07,5
8,2018-10-08,10
9,2018-10-09,12
10,2018-10-10,147
11,2018-10-11,1173
12,2018-10-12,451
13,2018-10-13,151
14,2018-10-14,280
15,2018-10-15,22
16,2018-10-16,1442
17,2018-10-17,2143
18,2018-10-18,1596
19,2018-10-19,379
20,2018-10-21,2676
21,2018-10-22,2378
22,2018-10-23,2241
23,2018-10-24,2123
24,2018-10-25,3355
25,2018-10-26,6343
26,2018-10-27,4691
27,2018-10-29,1762
28,2018-10-30,7313
29,2018-10-31,5145
30,2018-11-01,0
0,2018-10-31,0
1,2018-11-01,4093
2,2018-11-02,2797
3,2018-11-03,6100
4,2018-11-04,5350
5,2018-11-05,3978
6,2018-11-06,3093
7,2018-11-07,1355
8,2018-11-08,1127
9,2018-11-09,1382
10,2018-11-10,859
11,2018-11-11,98
12,2018-11-12,2335
13,2018-11-13,1471
14,2018-11-14,1787
15,2018-11-15,1799
16,2018-11-16,1950
17,2018-11-17,1928
18,2018-11-18,873
19,2018-11-19,686
20,2018-11-20,1132
0,2018-12-01,4569
1,2018-12-02,3617
2,2018-12-03,1205
3,2018-12-04,2210
4,2018-12-05,1212
5,2018-12-06,1822
6,2018-12-07,1526
7,2018-12-08,3054
8,2018-12-09,2058
9,2018-12-10,4480
10,2018-12-11,4082
11,2018-12-12,84
12,2018-12-13,209
13,2018-12-14,104
14,2018-12-15,44
15,2018-12-16,1116
16,2018-12-17,1881
17,2018-12-18,166
18,2018-12-19,711
19,2018-12-20,960
20,2018-12-21,3069
21,2018-12-22,2023
22,2018-12-23,4
23,2018-12-24,2164
24,2018-12-25,2355
25,2018-12-26,1893
26,2018-12-27,1166
27,2018-12-28,2731
28,2018-12-29,3314
29,2018-12-30,2993
30,2018-12-31,2663
31,2019-01-01,59
0,2018-12-31,0
1,2019-01-01,4245
2,2019-01-02,1761
3,2019-01-03,594
4,2019-01-04,1319
5,2019-01-05,4865
6,2019-01-06,3018
7,2019-01-07,2436
8,2019-01-08,1300
9,2019-01-09,2127
10,2019-01-10,2213
11,2019-01-11,1705
12,2019-01-12,1097
13,2019-01-13,2165
14,2019-01-14,2569
15,2019-01-15,1344
16,2019-01-16,1702
17,2019-01-17,2037
18,2019-01-18,3002
19,2019-01-19,816
20,2019-01-20,3778
21,2019-01-21,2427
22,2019-01-22,2855
23,2019-01-23,1168
24,2019-01-24,82
25,2019-01-25,1284
26,2019-01-26,1678
27,2019-01-27,1417
28,2019-01-28,1012
29,2019-01-29,1010
30,2019-01-30,763
31,2019-01-31,1916
0,2019-02-01,2015
1,2019-02-02,2038
2,2019-02-03,1937
3,2019-02-04,1581
4,2019-02-05,760
5,2019-02-06,1947
6,2019-02-07,609
7,2019-02-08,1843
8,2019-02-09,1142
9,2019-02-10,2536
10,2019-02-11,3013
11,2019-02-12,3853
12,2019-02-13,1045
13,2019-02-14,945
14,2019-02-15,2828
15,2019-02-16,1990
16,2019-02-17,2555
17,2019-02-18,1308
18,2019-02-19,2201
19,2019-02-20,1650
20,2019-02-21,1304
21,2019-02-22,3043
22,2019-02-23,3266
23,2019-02-24,1539
24,2019-02-25,978
25,2019-02-26,1801
26,2019-02-27,1117
27,2019-02-28,2335
28,2019-03-01,0
0,2019-02-28,0
1,2019-03-01,1022
2,2019-03-02,2608
3,2019-03-03,6515
4,2019-03-04,4762
5,2019-03-05,2828
6,2019-03-06,3457
7,2019-03-07,4916
8,2019-03-08,4840
9,2019-03-09,8255
10,2019-03-10,7397
11,2019-03-11,3918
12,2019-03-12,1196
13,2019-03-13,4382
14,2019-03-14,4370
15,2019-03-15,5798
16,2019-03-16,2204
17,2019-03-17,2525
18,2019-03-18,3580
19,2019-03-19,3879
20,2019-03-20,4903
21,2019-03-21,5596
22,2019-03-22,3009
23,2019-03-23,2792
24,2019-03-24,5818
25,2019-03-25,2976
26,2019-03-26,5972
27,2019-03-27,1502
28,2019-03-28,1942
29,2019-03-29,2529
30,2019-03-30,4588
31,2019-03-31,6297
32,2019-04-01,0
0,2019-03-31,0
1,2019-04-01,1904
2,2019-04-02,1957
3,2019-04-03,4311
4,2019-04-04,1611
5,2019-04-05,4064
6,2019-04-06,5331
7,2019-04-07,2445
8,2019-04-08,1377
9,2019-04-09,2
10,2019-04-10,3310
11,2019-04-11,2884
12,2019-04-12,2022
13,2019-04-13,372
14,2019-04-14,5936
15,2019-04-15,4071
16,2019-04-16,393
17,2019-04-17,40
18,2019-04-18,3288
19,2019-04-19,3161
20,2019-04-20,1949
21,2019-04-21,2854
22,2019-04-22,5866
23,2019-04-23,3594
24,2019-04-24,2553
25,2019-04-25,2694
26,2019-04-26,2753
27,2019-04-27,5067
28,2019-04-28,5213
29,2019-04-29,2266
30,2019-04-30,963
0,2019-04-30,0
1,2019-05-01,4578
2,2019-05-02,8156
3,2019-05-03,8136
4,2019-05-04,5091
5,2019-05-05,6709
6,2019-05-06,5795
7,2019-05-07,4438
8,2019-05-08,5449
9,2019-05-09,7521
10,2019-05-10,7408
11,2019-05-11,8336
12,2019-05-12,3038
13,2019-05-13,3869
14,2019-05-14,6144
15,2019-05-15,6081
16,2019-05-16,6120
17,2019-05-17,9359
18,2019-05-18,6215
19,2019-05-19,7346
20,2019-05-20,6483
21,2019-05-21,5093
22,2019-05-22,6552
23,2019-05-23,3683
24,2019-05-24,5136
25,2019-05-25,8075
26,2019-05-26,7930
27,2019-05-27,6773
28,2019-05-28,5221
29,2019-05-29,1003
30,2019-05-30,6799
31,2019-05-31,4847
