,Date,number of events
0,2018-08-02,347
1,2018-08-04,122
2,2018-08-05,222
3,2018-08-06,559
4,2018-08-07,411
5,2018-08-08,215
6,2018-08-09,236
7,2018-08-10,178
8,2018-08-11,202
9,2018-08-12,79
10,2018-08-13,141
11,2018-08-14,88
12,2018-08-15,43
13,2018-08-16,91
14,2018-08-17,97
15,2018-08-18,14
16,2018-08-19,17
17,2018-08-20,51
18,2018-08-21,166
19,2018-08-22,71
20,2018-08-23,158
21,2018-08-24,239
22,2018-08-25,473
23,2018-08-26,186
24,2018-08-27,188
25,2018-08-28,133
26,2018-08-29,238
27,2018-08-30,414
28,2018-08-31,299
0,2018-09-01,411
1,2018-09-02,59
2,2018-09-03,147
3,2018-09-04,86
4,2018-09-05,297
5,2018-09-06,219
6,2018-09-07,110
7,2018-09-08,42
8,2018-09-09,8
9,2018-09-10,85
10,2018-09-11,106
11,2018-09-12,157
12,2018-09-13,41
13,2018-09-17,26
14,2018-09-18,12
15,2018-09-19,11
16,2018-09-20,4
17,2018-09-21,259
18,2018-09-22,122
19,2018-09-23,65
20,2018-09-24,13
21,2018-09-25,213
22,2018-09-26,60
23,2018-09-27,28
24,2018-09-28,7
25,2018-09-29,18
26,2018-09-30,9
0,2018-10-01,13
1,2018-10-02,16
2,2018-10-03,36
3,2018-10-04,38
4,2018-10-05,70
5,2018-10-06,50
6,2018-10-07,3
7,2018-10-08,3
8,2018-10-09,32
9,2018-10-10,145
10,2018-10-11,200
11,2018-10-12,193
12,2018-10-13,222
13,2018-10-14,150
14,2018-10-15,68
15,2018-10-16,244
16,2018-10-17,305
17,2018-10-18,270
18,2018-10-19,315
19,2018-10-21,203
20,2018-10-22,258
21,2018-10-23,218
22,2018-10-24,281
23,2018-10-25,91
24,2018-10-26,764
25,2018-10-27,585
26,2018-10-29,93
27,2018-10-30,773
28,2018-10-31,721
0,2018-11-01,606
1,2018-11-02,343
2,2018-11-03,610
3,2018-11-04,510
4,2018-11-05,766
5,2018-11-06,233
6,2018-11-07,204
7,2018-11-08,489
8,2018-11-09,640
9,2018-11-10,159
10,2018-11-11,60
11,2018-11-12,820
12,2018-11-13,884
13,2018-11-14,699
14,2018-11-15,662
15,2018-11-16,571
16,2018-11-17,659
17,2018-11-18,430
18,2018-11-19,525
19,2018-11-20,569
0,2018-12-01,2018
1,2018-12-02,879
2,2018-12-03,607
3,2018-12-04,1159
4,2018-12-05,718
5,2018-12-06,842
6,2018-12-07,745
7,2018-12-08,1328
8,2018-12-09,561
9,2018-12-10,1045
10,2018-12-11,1122
11,2018-12-12,25
12,2018-12-13,312
13,2018-12-14,270
14,2018-12-15,36
15,2018-12-16,676
16,2018-12-17,1343
17,2018-12-18,104
18,2018-12-19,127
19,2018-12-20,364
20,2018-12-21,839
21,2018-12-22,689
22,2018-12-23,3
23,2018-12-24,2281
24,2018-12-25,2654
25,2018-12-26,1105
26,2018-12-27,739
27,2018-12-28,1064
28,2018-12-29,984
29,2018-12-30,1059
30,2018-12-31,1506
0,2019-01-01,1160
1,2019-01-02,578
2,2019-01-03,154
3,2019-01-04,385
4,2019-01-05,2828
5,2019-01-06,2367
6,2019-01-07,1580
7,2019-01-08,1456
8,2019-01-09,1377
9,2019-01-10,1327
10,2019-01-11,1483
11,2019-01-12,468
12,2019-01-13,2646
13,2019-01-14,2278
14,2019-01-15,813
15,2019-01-16,773
16,2019-01-17,1173
17,2019-01-18,1134
18,2019-01-19,236
19,2019-01-20,2653
20,2019-01-21,3383
21,2019-01-22,4175
22,2019-01-23,1166
23,2019-01-24,174
24,2019-01-25,1160
25,2019-01-26,1129
26,2019-01-27,1067
27,2019-01-28,814
